辛,tân,đau,Đứng (立)trên một cái sào thì rất là  đau,22
泣,khấp,khóc,Một người đang đứng(立) và khóc,22
怒,nộ,tức giận,Người phụ nữ(女) tức giận  với tôi.,22
悲,bi,buồn,Trái tim tôi (心) thì  buồn  b&gt; vì chàng trai ở phía sau quầy bar.,22
痛,thống,sự đau đớn,Tôi vượt qua hàng rào của bệnh viện với sự  đau đớn,22
配,phối,"đạt được,cung cấp",Một người quỳ xuống để  đạt được  b&gt;  lợi ích (酒).,22
困,khốn,rắc rối,Chúng tôi đang gặp  rắc rối  b&gt; vì có một cây lớn (木).,22
感,cảm,đã cảm thấy,Tôi  cảm thấy  b&gt; bị sốc khi nhìn thấy một người đàn ông với một vũ khí.,22
笑,tiếu,cười,"Một người (人)đang  cười   ""Ke ke(ケケ)"".",22
幸,hạnh,hạnh phúc,Tôi có nhiều yên(円) dưới đất(土).Tôi rất hạnh phúc,22
苦,khổ,"chịu,đau khổ","Nếu bạn ăn măng tây cũ(古),bạn sẽ  chịu đau ",22
恥,sỉ,xấu hổ,Thật  là một sự  xấu hổ  nếu bạn không lắng nghe tiếng nói từ trái tim của bạn (心).,22
眠,miên,ngủ,Một người(民) thì đang ngủ với đôi mắt(目) đã khép.,22
残,tàn,còn lại,Ba (三) người chết (死) và chỉ có vũ khí của họ vẫn  còn lại  b&gt;,22
念,niệm,nghĩ,"Bây giờ(今) ,tôi đang nghĩ về bạn.",22
情,tình,"cảm giác,cảm thấy",Tôi cảm giác màu xanh,22
