其の儘,そのまま,"",không thay đổi; như vốn dĩ; để nó như thế; để nguyên,
文化祭,ぶんかさい,"",lễ văn hóa,
文型,ぶんけい,"",khoa học xã hội; khoa học nhân văn,
見習,みならい,"","sự học bằng cách quan sát; sự học nghề (học việc) trên thực tế, người học nghề trên thực tế; sự nhìn rồi bắt chước theo",
役立つ,やくだつ,"",có ích; có tác dụng; phục vụ mục đích,
発汗,はっかん,"","sự đổ mồ hôi, sự hàn thiếc, sự hấp hơi",
冷汗,ひやあせ,"",mồ hôi lạnh .,
息苦しい,いきぐるしい,"",hầm hơi,
顔負け,かおまけ,"",sự xấu hổ; xấu hổ; ngượng; ngượng ngùng,
歴代,れきだい,"",liên tiếp phát sinh; những hoàng đế liên tiếp,
