必要,ひつよう,"TẤT YẾU, YÊU",điều tất yếu,
指示,しじ,"CHỈ KÌ, THỊ",sự chỉ thị/sự chỉ dẫn,
空く,すく,"",Bỏ trống,
課題,かだい,KHÓA ĐỀ,"chủ đề,đề tài,nhiệm vụ,thách thức",
体調,たいちょう,THỂ ĐIỀU,sự điều tra tình trạng cơ thể,
体力,たいりょく,THỂ LỰC,thể nghiệm,
表示,ひょうじ,BIỂU THỊ,"Phô trương, vạch ra",
求める,もとめる,"","Tìm kiếm, yêu cầu",
管理,かんり,QUẢN LÍ,"sự quản lí,sự bảo quản,quản lý,bảo quản",
新鮮,しんせん,"TÂN TIÊN, TIỂN",tươi/mới,
詳細,しょうさい,TƯỜNG TẾ,"Chi tiết, tường tận, tỉ mỉ",
職業,しょくぎょう,CHỨC NGHIỆP,Nghề nghiệp,
正解,せいかい,CHÍNH GIẢI,"sự giải thích đúng,sự giải thích chính xác",
許可,きょか,HỨA KHẢ,"Sự bằng lòng, sự cho phép",
書籍,しょせき,THƯ TỊCH,Cuốn sách,
紹介,しょうかい,THIỆU GIỚI,Sự giới thiệu,
法律,ほうりつ,PHÁP LUẬT,Luật pháp,
入浴,にゅうよく,NHẬP DỤC,Đi tắm,
伺う,うかがう,"","Thăm hỏi, dò xét",
丈夫,じょうぶ,TRƯỢNG PHU,"Chắc, bền, khỏe, không sao",
助ける,たすける,"",Cứu giúp,
当然,とうぜん,"ĐƯƠNG, ĐANG, ĐÁNG NHIÊN",sự đương nhiên/sự dĩ nhiên,
国内,こくないこくだいくぬち,"QUỐC NỘI, NẠP","trong nước,quốc nội",
個人,こじん,CÁ NHÂN,"cá nhân,cá thể",
老人,ろうじん,LÃO NHÂN,người già,
十分,じゅうぶん,THẬP PHÂN,Đầy đủ,
時差,じさ,"THÌ, THỜI SOA, SI, SAI, SÁI",sự chênh lệch về thời gian,
非常,ひじょう,PHI THƯỜNG,"Cực kỳ, đặc biệt",
浮かぶ,うかぶ,"","Nổi, trôi nổi",
離す,はなす,"","Chia, tránh xa",
就職,しゅうしょく,TỰU CHỨC,Tìm việc làm,
隠す,かくす,"","Trốn, dấu, lánh mình",
復習,ふくしゅう,"PHỤC, PHÚC TẬP",sự ôn tập,
はっきり,はっきり,"",hiểu rõ .,
聞き取る,ききとる,"",nghe hiểu,
売り場,うりば,"",nơi bán hàng hóa,
上手く,うまく,"","skilfully, skillfully, well, aptly, cleverly",
極めて,きわめて,"",cực kỳ; rất; vô cùng; đặc biệt; hết sức,
祝賀会,しゅくがかい,"","sự kỷ niệm; lễ kỷ niệm, sự tán dương, sự ca tụng",
立ち退き,たちしりぞき,"","sự đuổi  (khỏi nhà ở, đất đai...)",
聢り,しっかり,"",chắc chắn; chặt; đáng tin cậy; đứng đầu mức; làm vững vàng,
けれど,けれど,"",nhưng; tuy nhiên,
参入,さんにゅう,"",đến; đi thăm hỏi; đi,
従業,じゅうぎょう,"","sự dùng, sự thuê làm, sự làm công, việc làm",
詳しく,くわしく,"","chủ tâm, cố ý, có dụng ý, hiểu biết, tính khôn, ranh mãnh",
